Company,Industry,City,Careers Site URL,Company_Size,Primary_Source,Indeed_URL,AngelList_URL,Glassdoor_URL,Backup_Strategy,Careers URL,Indeed Search
8x8,Communications,,https://www.8x8.com/careers/jobs,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""8x8""&l=nan,CO",,https://www.glassdoor.com/Jobs/8x8-Jobs-E12345.htm,"careers_page,indeed",,
A2Z Drone Delivery,Transportation Technology,,https://www.a2zdronedelivery.com/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""A2Z Drone Delivery""&l=nan,CO",,https://www.glassdoor.com/Jobs/A2Z-Drone-Delivery-Jobs-E12345.htm,"careers_page,indeed",,
A2ZSync,Software & Services,Greenwood Village,https://a2zsync.com/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""A2ZSync""&l=Greenwood Village,CO",,https://www.glassdoor.com/Jobs/A2ZSync-Jobs-E12345.htm,"careers_page,indeed",,
AbsenceSoft,Software & Services,Golden,https://absencesoft.com/careers/#openings,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""AbsenceSoft""&l=Golden,CO",,https://www.glassdoor.com/Jobs/AbsenceSoft-Jobs-E12345.htm,"careers_page,indeed",,
Absio,Cybersecurity,Littleton,,Small,job_boards,"https://www.indeed.com/jobs?q=company:""Absio""&l=Littleton,CO",https://angel.co/company/absio/jobs,https://www.glassdoor.com/Jobs/Absio-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Accelo,Other,Denver,https://accelo.hire.trakstar.com/?,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Accelo""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Accelo-Jobs-E12345.htm,"careers_page,indeed",,
Accruent,Real Estate Technology,Centennial,https://fortive.eightfold.ai/careers?location=any&pid=893382671752&Operating%20Company=Accruent&domain=fortive.com&sort_by=relevance&jobIndex=0,Small,careers_page,"https://www.indeed.com/jobs?q=company:""Accruent""&l=Centennial,CO",https://angel.co/company/accruent/jobs,https://www.glassdoor.com/Jobs/Accruent-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
AccuBar,E-commerce,Centennial,https://birchstreet.isolvedhire.com/jobs/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""AccuBar""&l=Centennial,CO",,https://www.glassdoor.com/Jobs/AccuBar-Jobs-E12345.htm,"careers_page,indeed",,
ACI Worldwide,Fintech,,https://ebwg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000300470,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""ACI Worldwide""&l=nan,CO",,https://www.glassdoor.com/Jobs/ACI-Worldwide-Jobs-E12345.htm,"careers_page,indeed",,
AdAction,Software & Services,Lakewood,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=1ad964e1-2111-432a-a530-7c51571c6374&ccId=19000101_000001&lang=en_US,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""AdAction""&l=Lakewood,CO",,https://www.glassdoor.com/Jobs/AdAction-Jobs-E12345.htm,"careers_page,indeed",,
AdCellerant,Marketing Technology,Denver,https://adcellerant.com/career-job-listing/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""AdCellerant""&l=Denver,CO",,https://www.glassdoor.com/Jobs/AdCellerant-Jobs-E12345.htm,"careers_page,indeed",,
Advanced Fraud Solutions,Cybersecurity,,,Small,job_boards,"https://www.indeed.com/jobs?q=company:""Advanced Fraud Solutions""&l=nan,CO",https://angel.co/company/advanced-fraud-solutions/jobs,https://www.glassdoor.com/Jobs/Advanced-Fraud-Solutions-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
Aircall,Communications,,https://aircall.io/careers/#open-positions,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Aircall""&l=nan,CO",,https://www.glassdoor.com/Jobs/Aircall-Jobs-E12345.htm,"careers_page,indeed",,
Airwallex,Fintech,,https://careers.airwallex.com/jobs,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Airwallex""&l=nan,CO",,https://www.glassdoor.com/Jobs/Airwallex-Jobs-E12345.htm,"careers_page,indeed",,
AlertMedia,Analytics & AI,,https://www.alertmedia.com/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""AlertMedia""&l=nan,CO",https://angel.co/company/alertmedia/jobs,https://www.glassdoor.com/Jobs/AlertMedia-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
