name,industry,size,stage,location,description,founded,employees,website,research_date,batch_id,competitive_advantage
EventTech,Event Tech,11-50,Bootstrap,"Denver, CO",Event Tech platform for enterprises,2020,101-250,https://eventtech.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
MeetingWave,Event Tech,101-250,Series A,"Denver, CO",Event Tech platform for enterprises,2018,101-250,https://meetingwave.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
EventHub,Event Tech,51-200,Series A,Remote,Event Tech platform for enterprises,2023,101-250,https://eventhub.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
EngageMetrics,User Analytics,101-250,Bootstrap,"Denver, CO",User Analytics platform for enterprises,2023,11-50,https://engagemetrics.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
AnalyticsHub,User Analytics,101-250,Seed,"Austin, TX",User Analytics platform for enterprises,2022,11-50,https://analyticshub.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
AnalyticsPro,User Analytics,101-250,Bootstrap,"San Francisco, CA",User Analytics platform for enterprises,2022,101-250,https://analyticspro.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
UserGuide,Customer Success,51-200,Seed,"Austin, TX",Customer Success platform for enterprises,2023,101-250,https://userguide.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
CustomerAI,Customer Success,51-200,Bootstrap,"San Francisco, CA",Customer Success platform for enterprises,2018,51-200,https://customerai.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
SuccessFlow,Customer Success,11-50,Bootstrap,"Austin, TX",Customer Success platform for enterprises,2023,101-250,https://successflow.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
PaymentSync,Fintech,101-250,Series C,"Amsterdam, NL",Fintech solutions for enterprises,2019,51-200,https://paymentsync.com,2025-08-11 22:04:59,discovery_20250811_220459,International/cross-border experience valued
TurboLabs,Fintech,11-50,Series A,"New York, NY",Fintech startup,2023,11-50,https://turbolabs.com,2025-08-11 22:04:59,discovery_20250811_220459,International/cross-border experience valued
NexusHub,User Analytics,101-250,Series A,"New York, NY",User Analytics startup,2021,51-200,https://nexushub.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
OptimalFlow,Defense Technology,51-200,Pre-Seed,"Berlin, DE",Defense Technology startup,2024,11-50,https://optimalflow.com,2025-08-11 22:04:59,discovery_20250811_220459,Military/public safety experience valued
InfiniteTech,User Analytics,51-200,Seed,"Toronto, CA",User Analytics startup,2021,51-200,https://infinitetech.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
ZenithSolutions,Event Technology,51-200,Pre-Seed,"London, UK",Event Technology startup,2023,11-50,https://zenithsolutions.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
PinnacleLabs,Defense Technology,101-250,Pre-Seed,"London, UK",Defense Technology startup,2022,11-50,https://pinnaclelabs.com,2025-08-11 22:04:59,discovery_20250811_220459,Military/public safety experience valued
StellarTech,Customer Success Platform,11-50,Pre-Seed,Remote,Customer Success Platform startup,2023,51-200,https://stellartech.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
TurboTech,Payment Processing,11-50,Pre-Seed,"Berlin, DE",Payment Processing startup,2022,11-50,https://turbotech.com,2025-08-11 22:04:59,discovery_20250811_220459,International/cross-border experience valued
QuantumTech,Customer Success Platform,101-250,Series A,"Austin, TX",Customer Success Platform startup,2022,51-200,https://quantumtech.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
MegaSolutions,User Analytics,101-250,Series A,"San Francisco, CA",User Analytics startup,2021,51-200,https://megasolutions.com,2025-08-11 22:04:59,discovery_20250811_220459,Pearson MyLab platform experience directly applicable
